,Province/State,Country/Region,Lat,Long,Date,cases
287,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-19,18
288,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-19,0
289,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-02,0
290,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-02,15
291,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-02,0
292,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-20,0
293,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-20,18
294,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-20,0
295,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-21,0
296,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-21,18
297,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-21,0
298,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-22,0
299,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-22,18
300,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-22,0
301,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-23,0
302,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-23,18
303,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-23,0
304,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-24,0
305,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-24,18
306,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-24,0
307,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-25,0
308,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-25,18
309,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-25,0
310,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-26,0
311,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-26,18
312,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-26,0
313,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-27,0
314,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-27,18
315,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-27,0
316,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-28,0
317,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-28,18
318,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-28,0
319,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-29,0
320,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-03,0
321,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-03,15
322,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-03,0
323,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-04,0
324,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-04,15
325,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-04,0
326,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-05,0
327,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-05,15
328,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-05,0
329,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-06,0
330,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-06,15
331,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-06,0
332,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-07,0
333,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-07,15
334,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-07,0
335,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-08,0
336,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-08,15
337,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-08,0
338,Anguilla,United Kingdom,18.2206,-63.0686,2020-02-09,0
339,Anguilla,United Kingdom,18.2206,-63.0686,2021-02-09,16
340,Anguilla,United Kingdom,18.2206,-63.0686,2022-02-09,0
341,Anguilla,United Kingdom,18.2206,-63.0686,2020-03-01,0
342,Anguilla,United Kingdom,18.2206,-63.0686,2021-03-01,18
343,Anguilla,United Kingdom,18.2206,-63.0686,2022-03-01,0
344,Anguilla,United Kingdom,18.2206,-63.0686,2020-03-10,0
345,Anguilla,United Kingdom,18.2206,-63.0686,2021-03-10,18
346,Anguilla,United Kingdom,18.2206,-63.0686,2022-03-10,0
347,Anguilla,United Kingdom,18.2206,-63.0686,2020-03-11,0
348,Anguilla,United Kingdom,18.2206,-63.0686,2021-03-11,18
349,Anguilla,United Kingdom,18.2206,-63.0686,2022-03-11,0
350,Anguilla,United Kingdom,18.2206,-63.0686,2020-03-12,0
351,Anguilla,United Kingdom,18.2206,-63.0686,2021-03-12,18
352,Anguilla,United Kingdom,18.2206,-63.0686,2022-03-12,0
353,Anguilla,United Kingdom,18.2206,-63.0686,2020-03-13,0
354,Anguilla,United Kingdom,18.2206,-63.0686,2021-03-13,18
355,Anguilla,United Kingdom,18.2206,-63.0686,2022-03-13,0
356,Anguilla,United Kingdom,18.2206,-63.0686,2020-03-14,0
357,Anguilla,United Kingdom,18.2206,-63.0686,2021-03-14,18
358,Anguilla,United Kingdom,18.2206,-63.0686,2022-03-14,0
359,Anguilla,United Kingdom,18.2206,-63.0686,2020-03-15,0
360,Anguilla,United Kingdom,18.2206,-63.0686,2021-03-15,18
